ID,Name
867,Future Friends Games
868,Future Tech Lab Co.
869,Fuzzyren Works
870,G-MODE Corporation
871,G-mode
872,G.rev
873,G5 Entertainment
874,GAGA Communications
875,GAME Studios
876,GCE
877,GIBBING TREE
878,GMX Media
879,GO!
880,GOA Games Services Ltd.
881,GRAVITY
882,GSC Game World
883,GSC World Publishing
884,GT Interactive Software
885,GTE Entertainment
886,Gaelco
887,Gaijin Entertainment
888,Gaijin Games
889,Gakken
890,Galactic Cafe
891,GalaxyTrail
892,Gamania
893,Gambitious
894,Game Arts
895,Game Bank
896,Game Factory Interactive
897,Game Freak
898,Game Grumps
899,Game Mill Entertainment
900,Game Odyssey Ltd
901,Game Titan
902,GameBank
903,GameMill Entertainment
904,GameOn
905,GameOver-Games
906,GamePlan
907,GameTek
908,GameTrust
909,Gamecock Media Group
910,Gameforge
911,Gamelion Studios
912,Gameloft
913,Gamepires
914,Gameplan 21
915,Gamera Games
916,Games Incubator
917,Games Operators
918,Games!
919,GamesWare
920,Gamestorm
921,Gamevil
922,Gamious
923,Gammera Nest
924,Gamtec
925,Garena
926,Gargoyle Games
927,Gathering
928,Gathering of Developers
929,Gattai Games
930,GearSprout
931,Gearbox Publishing
932,Gearbox Software
933,Gears for Breakfast
934,General Arcade
935,General Mills
936,Gengosha
937,Genius Inc
938,Genius Studio Japan
939,Genki
940,Genki Co. Ltd.
941,Ghostlight Ltd.
942,Giant Interactive Entertainment
943,Giant Spacekat
944,Gig
945,Gigantum Games
946,GirlGames
947,Girlvania
948,Gizmondo Europe
949,Gizmondo Games
950,Global Star Software
951,Global VR
952,Glowstick Entertainment
953,Glu Mobile
954,Gluk Video
955,Goblinz Studio
956,Going Load Studios
957,Golden Hammer Software
958,Goldhawk Interactive
959,Golem Entertainmen
960,Golem Entertainment
961,Good Shepherd Entertainment
962,Googie
963,Google
964,Got Game Entertainment
965,Gotham Games
966,Gottlieb
967,GrabTheGames
968,Gracias
969,Gradiente
970,Graffiti Games
971,Grandslam Entertainments
972,Grandslam Video Ltd.
973,Grandstand
974,Graphic Simulations
975,Graphix Zone
976,Grasshopper Manufacture
977,Gravity
978,Gray Design Associates
979,Green Lava Studios
980,Green Man Gaming Publishing
981,Greenwave Games
982,Gremlin Graphics
983,Gremlin Graphics Software Ltd.
984,Gremlin Industries
985,Gremlin Interactive
986,Grey Box
987,Grinding Gear Games
988,Grip Digital
989,GrizzlyGames
990,Grolier Interactive
991,Groove Games
992,GruntZilla94
993,Gryphon Software Corp.
994,Guildhall Leisure Services Ltd.
995,Gun Interactive
996,GungHo Online Entertainment
997,GungHo Online Entertainment America
998,Gunship_Mark_II
999,Gust
1000,Guy Unger
1001,H2 Interactive Co.
1002,HAL America Inc
1003,HAL Laboratory
1004,HAMSTER
1005,HBO
1006,HES Interactive
1007,HMH Interactive
1008,HOT-B
